session_id,user_id,start_time,device_type,referrer_source,is_converted
6d553c2d-fe1e-4406-9e32-cd258df05830,0000780a-2126-4e84-9622-42ce0ea9b17a,57:18.0,desktop,organic_search,FALSE
7330ad09-21cd-4849-b1c8-528d72f7d23b,0000780a-2126-4e84-9622-42ce0ea9b17a,20:23.0,desktop,display_ad,FALSE
6f6dce62-c078-4dfd-b39b-33068358bc0a,000aea63-23ad-42ab-98b8-3de2e33c624c,05:24.0,desktop,direct,FALSE
d3a0ecd7-69c3-431e-bab2-89946ce644c1,000b86cc-387b-4968-aaa5-7152296985d2,24:48.0,mobile,direct,FALSE
1539d203-2ced-4a39-b32c-79caf3b0db72,000b86cc-387b-4968-aaa5-7152296985d2,41:52.0,mobile,organic_search,FALSE
9c97ef16-584a-4d3c-a23d-51a619dabaa4,000b86cc-387b-4968-aaa5-7152296985d2,37:39.0,desktop,social_media,TRUE
7a1abf37-0cb4-4225-a599-2770967fadec,0015db27-c5fe-4846-ab49-599a3384d90d,51:58.0,mobile,direct,FALSE
0cb91313-f1f0-4f15-83d6-ef59fbda1438,001f3a0f-80f7-433e-86cd-9027ce848f27,00:27.0,tablet,direct,FALSE
e737116a-48e7-4012-8142-1dd87cd3900e,004c385b-f83f-46e2-8523-694304a93d76,01:55.0,tablet,direct,FALSE
fbcdb8eb-dd12-46a6-aff6-dec7c23e1741,004c385b-f83f-46e2-8523-694304a93d76,28:57.0,desktop,organic_search,FALSE
78a45866-ffd8-43db-a5d7-5f982c1dae07,00605285-a4a0-4199-8563-cca484107763,47:06.0,mobile,organic_search,FALSE
1dd0c2cb-517e-47a3-abbb-8a183cc0dc26,00605285-a4a0-4199-8563-cca484107763,50:44.0,mobile,email,FALSE
9aec78e3-e145-4092-b686-1494285aa461,007b793d-696d-431a-bbcd-ea8408c9a1ed,23:29.0,desktop,social_media,FALSE
8a4c3d1a-db01-433b-bd48-7ad8c59b82f7,007b793d-696d-431a-bbcd-ea8408c9a1ed,21:44.0,mobile,social_media,FALSE
b59ab729-d7f5-4d10-801c-9b20bf72ace7,007e5e78-dff8-449a-8f0a-f59185cad907,02:34.0,mobile,organic_search,TRUE
6547c831-c2d9-448f-b54c-9164910fff21,00922246-25f1-4564-92c3-2a314a9c6226,02:31.0,desktop,direct,FALSE
84d42cde-028b-4312-83dc-7cdb126092cc,00922246-25f1-4564-92c3-2a314a9c6226,18:33.0,mobile,social_media,TRUE
0d24cbe3-6506-443f-ae77-c1baa32324b6,00922246-25f1-4564-92c3-2a314a9c6226,07:57.0,mobile,direct,FALSE
